Název;Kód;Kategorie
Zlín;Zlín;okres
Vyškov;Vyškov;okres
Vsetín;Vsetín;okres
Uherské Hradiště;Uherské Hradiště;okres
Třebíč;Třebíč;okres
Šumperk;Šumperk;okres
Přerov;Přerov;okres
Prostějov;Prostějov;okres
Ostrava-město;Ostrava-město;okres
Opava;Opava;okres
Olomouc;Olomouc;okres
Nový Jičín;Nový Jičín;okres
Kroměříž;Kroměříž;okres
Karviná;Karviná;okres
Jeseník;Jeseník;okres
Hodonín;Hodonín;okres
Hlavní město Praha;Hlavní město Praha;okres
Frýdek-Místek;Frýdek-Místek;okres
Břeclav;Břeclav;okres
Bruntál;Bruntál;okres
Brno-venkov;Brno-venkov;okres
Brno-město;Brno-město;okres
Blansko;Blansko;okres
Žďár nad Sázavou;Žďár nad Sázavou;okres
Ústí nad Orlicí;Ústí nad Orlicí;okres
Ústí nad Labem;Ústí nad Labem;okres
Trutnov;Trutnov;okres
Teplice;Teplice;okres
Tachov;Tachov;okres
Tábor;Tábor;okres
Svitavy;Svitavy;okres
Strakonice;Strakonice;okres
Sokolov;Sokolov;okres
Semily;Semily;okres
Rychnov nad Kněžnou;Rychnov nad Kněžnou;okres
Rokycany;Rokycany;okres
Rakovník;Rakovník;okres
Příbram;Příbram;okres
Prachatice;Prachatice;okres
Praha-západ;Praha-západ;okres
Praha-východ;Praha-východ;okres
Plzeň-sever;Plzeň-sever;okres
Plzeň-město;Plzeň-město;okres
Plzeň-jih;Plzeň-jih;okres
Písek;Písek;okres
Pelhřimov;Pelhřimov;okres
Pardubice;Pardubice;okres
Nymburk;Nymburk;okres
Náchod;Náchod;okres
Most;Most;okres
Mladá Boleslav;Mladá Boleslav;okres
Mělník;Mělník;okres
Louny;Louny;okres
Litoměřice;Litoměřice;okres
Liberec;Liberec;okres
Kutná Hora;Kutná Hora;okres
Kolín;Kolín;okres
Klatovy;Klatovy;okres
Kladno;Kladno;okres
Karlovy Vary;Karlovy Vary;okres
Jindřichův Hradec;Jindřichův Hradec;okres
Jihlava;Jihlava;okres
Jičín;Jičín;okres
Jablonec nad Nisou;Jablonec nad Nisou;okres
Chrudim;Chrudim;okres
Chomutov;Chomutov;okres
Cheb;Cheb;okres
Hradec Králové;Hradec Králové;okres
Havlíčkův Brod;Havlíčkův Brod;okres
Domažlice;Domažlice;okres
Děčín;Děčín;okres
Český Krumlov;Český Krumlov;okres
České Budějovice;České Budějovice;okres
Česká Lípa;Česká Lípa;okres
Beroun;Beroun;okres
Benešov;Benešov;okres
Komárov;Komárov;katastr
Ivanovice;Ivanovice;katastr
Těšetice u Olomouce;Těšetice u Olomouce;katastr
Uničov;Uničov;katastr
Troubelice;Troubelice;katastr
Majetín;Majetín;katastr
Košíky;Košíky;katastr
Horka nad Moravou;Horka nad Moravou;katastr
Holásky;Holásky;katastr
Pavlovice u Přerova;Pavlovice u Přerova;katastr
Lubná u Kroměříže;Lubná u Kroměříže;katastr
Černovice;Černovice;katastr
Černá Pole;Černá Pole;katastr
Lubenec;Lubenec;katastr
Žebětín;Žebětín;katastr
Pisárky;Pisárky;katastr
Kohoutovice;Kohoutovice;katastr
Nový Lískovec;Nový Lískovec;katastr
Bohunice;Bohunice;katastr
Starý Lískovec;Starý Lískovec;katastr
Horní Heršpice;Horní Heršpice;katastr
Královo Pole;Královo Pole;katastr
Bystrc;Bystrc;katastr
Jundrov;Jundrov;katastr
Jihlava;Jihlava;katastr
Nezabudice;Nezabudice;katastr
Krouna;Krouna;katastr
Hosov;Hosov;katastr
Kněžice u Třebíče;Kněžice u Třebíče;katastr
Řehořov;Řehořov;katastr
Jiříkovice;Jiříkovice;katastr
Jedlany;Jedlany;katastr
Rybné;Rybné;katastr
Drahnětice;Drahnětice;katastr
Hruškové Dvory;Hruškové Dvory;katastr
Dědice u Nemyšle;Dědice u Nemyšle;katastr
Žižice;Žižice;katastr
Třebichovice;Třebichovice;katastr
Čelechovice;Čelechovice;katastr
Běloky;Běloky;katastr
Čelina;Čelina;katastr
Horní Dvořiště;Horní Dvořiště;katastr
Blíževedly;Blíževedly;katastr
Masojedy;Masojedy;katastr
Sivice;Sivice;katastr
Bulhary;Bulhary;katastr
Hněvkovice u Humpolce;Hněvkovice u Humpolce;katastr
Humpolec;Humpolec;katastr
Milovice u Mikulova;Milovice u Mikulova;katastr
Polabec;Polabec;katastr
Bošovice;Bošovice;katastr
Boškůvky;Boškůvky;katastr
Olšany;Olšany;katastr
Pístovice;Pístovice;katastr
Jizbice u Nymburka;Jizbice u Nymburka;katastr
Račice;Račice;katastr
Bohaté Málkovice;Bohaté Málkovice;katastr
Abertamy;Abertamy;katastr
Oplocany;Oplocany;katastr
